id_transaccion,fecha,id_cliente,categoria,producto,precio_unitario,cantidad,descuento_pct,total,canal,metodo_pago,ciudad,satisfaccion,atipico_total,año,mes_num,mes,trimestre,dia_semana,es_fin_de_semana,semana_iso,importe_medio_unitario
TX-000024,2024-01-02 20:45:00,C-00705,Hogar,Purificador de Aire,159.0,2,0.0,318.0,Online,Bizum,Barcelona,4.1,False,2024,1,Enero,T1,Martes,False,1,159.0
TX-000025,2024-01-03 12:40:00,C-00933,Deportes,Bicicleta Estática,349.0,5,0.18,1430.9,Online,Tarjeta,Valencia,3.8,False,2024,1,Enero,T1,Miércoles,False,1,286.18
TX-000026,2024-01-03 12:50:00,C-00933,Ropa,Camisa Clásica,35.0,4,0.0,140.0,Online,Efectivo,Madrid,4.9,False,2024,1,Enero,T1,Miércoles,False,1,35.0
TX-000027,2024-01-03 13:35:00,C-00980,Hogar,Robot Aspirador,299.0,1,0.0,299.0,Online,Tarjeta,Barcelona,3.4,False,2024,1,Enero,T1,Miércoles,False,1,299.0
TX-000028,2024-01-03 14:45:00,C-01344,Ropa,Chaqueta Impermeable,89.0,2,0.0,178.0,Online,Bizum,Madrid,3.8,False,2024,1,Enero,T1,Miércoles,False,1,89.0
TX-000029,2024-01-03 15:55:00,C-01344,Electrónica,Tablet Pro 11,449.0,2,0.0,898.0,Tienda física,PayPal,Barcelona,3.5,False,2024,1,Enero,T1,Miércoles,False,1,449.0
TX-000030,2024-01-03 16:00:00,C-00541,Hogar,Lámpara Inteligente,45.0,2,0.0,90.0,Online,PayPal,Zaragoza,3.5,False,2024,1,Enero,T1,Miércoles,False,1,45.0
TX-000031,2024-01-03 17:10:00,C-00451,Ropa,Camisa Clásica,35.0,1,0.0,35.0,Tienda física,Tarjeta,Madrid,3.2,False,2024,1,Enero,T1,Miércoles,False,1,35.0
TX-000032,2024-01-03 20:35:00,C-00933,Electrónica,Auriculares Inalámbricos,129.0,3,0.0,387.0,Online,Bizum,Barcelona,3.9,False,2024,1,Enero,T1,Miércoles,False,1,129.0
TX-000033,2024-01-03 21:05:00,C-01023,Hogar,Robot Aspirador,299.0,1,0.0,299.0,Tienda física,PayPal,Valencia,4.2,False,2024,1,Enero,T1,Miércoles,False,1,299.0
TX-000034,2024-01-03 21:35:00,C-00001,Ropa,Zapatillas Running,99.0,5,0.13,430.65,Online,PayPal,Zaragoza,3.3,False,2024,1,Enero,T1,Miércoles,False,1,86.13
TX-000035,2024-01-04 09:20:00,C-00933,Ropa,Chaqueta Impermeable,89.0,1,0.0,89.0,Online,PayPal,Valencia,3.9,False,2024,1,Enero,T1,Jueves,False,1,89.0
TX-000036,2024-01-04 10:40:00,C-00933,Electrónica,Smartphone Galaxy X,699.0,5,0.0,3495.0,Online,PayPal,Barcelona,4.4,True,2024,1,Enero,T1,Jueves,False,1,699.0
TX-000037,2024-01-04 11:50:00,C-00707,Libros,Manual de Python,39.0,4,0.0,156.0,Tienda física,Tarjeta,Madrid,4.2,False,2024,1,Enero,T1,Jueves,False,1,39.0
TX-000038,2024-01-04 13:55:00,C-01311,Ropa,Vaqueros Slim,59.0,2,0.0,118.0,Online,Efectivo,Valencia,4.0,False,2024,1,Enero,T1,Jueves,False,1,59.0
TX-000039,2024-01-04 14:20:00,C-00790,Alimentación,Chocolate Artesanal,6.0,2,0.0,12.0,Online,PayPal,Barcelona,3.5,False,2024,1,Enero,T1,Jueves,False,1,6.0
TX-000040,2024-01-04 14:20:00,C-00341,Electrónica,Tablet Pro 11,449.0,2,0.0,898.0,Tienda física,PayPal,Barcelona,4.2,False,2024,1,Enero,T1,Jueves,False,1,449.0
TX-000041,2024-01-04 17:05:00,C-00474,Alimentación,Miel Orgánica,8.0,1,0.0,8.0,Tienda física,Efectivo,Barcelona,2.8,False,2024,1,Enero,T1,Jueves,False,1,8.0
TX-000042,2024-01-04 18:30:00,C-01344,Ropa,Sudadera Premium,49.0,1,0.0,49.0,Online,Tarjeta,Bilbao,4.2,False,2024,1,Enero,T1,Jueves,False,1,49.0
TX-000043,2024-01-04 19:00:00,C-00642,Ropa,Camisa Clásica,35.0,2,0.0,70.0,Online,PayPal,Madrid,3.1,False,2024,1,Enero,T1,Jueves,False,1,35.0
TX-000044,2024-01-04 19:55:00,C-00933,Hogar,Purificador de Aire,159.0,1,0.0,159.0,Tienda física,Bizum,Barcelona,2.5,False,2024,1,Enero,T1,Jueves,False,1,159.0
TX-000045,2024-01-05 09:40:00,C-00816,Hogar,Cafetera Espresso,189.0,1,0.0,189.0,Online,Tarjeta,Madrid,3.2,False,2024,1,Enero,T1,Viernes,False,1,189.0
TX-000046,2024-01-05 10:35:00,C-01344,Electrónica,Auriculares Inalámbricos,129.0,1,0.0,129.0,Online,Tarjeta,Madrid,2.9,False,2024,1,Enero,T1,Viernes,False,1,129.0
TX-000047,2024-01-05 11:20:00,C-00541,Electrónica,Smartwatch Active,199.0,3,0.0,597.0,Tienda física,Bizum,Barcelona,3.5,False,2024,1,Enero,T1,Viernes,False,1,199.0
TX-000048,2024-01-05 11:20:00,C-00933,Deportes,Esterilla Yoga Pro,29.0,4,0.0,116.0,Online,Efectivo,Madrid,3.4,False,2024,1,Enero,T1,Viernes,False,1,29.0
TX-000049,2024-01-05 11:30:00,C-01041,Deportes,Bicicleta Estática,349.0,1,0.0,349.0,Online,Efectivo,Barcelona,4.5,False,2024,1,Enero,T1,Viernes,False,1,349.0
TX-000050,2024-01-05 11:55:00,C-00431,Deportes,Bicicleta Estática,349.0,3,0.16,879.48,Tienda física,PayPal,Barcelona,4.0,False,2024,1,Enero,T1,Viernes,False,1,293.16
TX-000051,2024-01-05 12:15:00,C-01344,Hogar,Purificador de Aire,159.0,1,0.0,159.0,Online,Efectivo,Madrid,4.3,False,2024,1,Enero,T1,Viernes,False,1,159.0
TX-000052,2024-01-05 12:25:00,C-01344,Hogar,Lámpara Inteligente,45.0,2,0.0,90.0,Tienda física,Tarjeta,Barcelona,3.7,False,2024,1,Enero,T1,Viernes,False,1,45.0
TX-000053,2024-01-05 12:40:00,C-00837,Ropa,Zapatillas Running,99.0,1,0.0,99.0,Tienda física,Tarjeta,Barcelona,3.2,False,2024,1,Enero,T1,Viernes,False,1,99.0
TX-000054,2024-01-05 13:25:00,C-00136,Electrónica,"Monitor 4K 27""",249.0,1,0.0,249.0,Online,Tarjeta,Málaga,3.9,False,2024,1,Enero,T1,Viernes,False,1,249.0
TX-000055,2024-01-05 14:20:00,C-01260,Deportes,Set Bandas Elásticas,19.0,2,0.0,38.0,Tienda física,Efectivo,Sevilla,3.0,False,2024,1,Enero,T1,Viernes,False,1,19.0
TX-000056,2024-01-05 15:45:00,C-00086,Hogar,Lámpara Inteligente,45.0,1,0.0,45.0,Online,PayPal,Barcelona,3.2,False,2024,1,Enero,T1,Viernes,False,1,45.0
TX-000057,2024-01-05 17:00:00,C-01194,Ropa,Vaqueros Slim,59.0,1,0.0,59.0,Online,Tarjeta,Madrid,4.0,False,2024,1,Enero,T1,Viernes,False,1,59.0
TX-000058,2024-01-05 17:05:00,C-01065,Electrónica,Auriculares Inalámbricos,129.0,3,0.0,387.0,Online,PayPal,Barcelona,3.9,False,2024,1,Enero,T1,Viernes,False,1,129.0
TX-000059,2024-01-05 18:15:00,C-01053,Alimentación,Aceite de Oliva Extra,12.0,5,0.0,60.0,Tienda física,Tarjeta,Valencia,3.8,False,2024,1,Enero,T1,Viernes,False,1,12.0
TX-000060,2024-01-05 18:30:00,C-00376,Ropa,Sudadera Premium,49.0,2,0.16,82.32,Tienda física,PayPal,Barcelona,4.7,False,2024,1,Enero,T1,Viernes,False,1,41.16
TX-000061,2024-01-05 18:35:00,C-00765,Electrónica,Smartphone Galaxy X,699.0,4,0.0,2796.0,Tienda física,Tarjeta,Barcelona,3.7,True,2024,1,Enero,T1,Viernes,False,1,699.0
TX-000062,2024-01-05 20:30:00,C-00430,Alimentación,Té Verde Premium,9.0,1,0.0,9.0,Online,Tarjeta,Barcelona,3.4,False,2024,1,Enero,T1,Viernes,False,1,9.0
TX-000063,2024-01-05 21:15:00,C-00855,Electrónica,"Monitor 4K 27""",249.0,5,0.0,1245.0,Tienda física,Bizum,Bilbao,3.2,False,2024,1,Enero,T1,Viernes,False,1,249.0
TX-000064,2024-01-06 11:05:00,C-00971,Ropa,Sudadera Premium,49.0,1,0.0,49.0,Online,Efectivo,Madrid,3.4,False,2024,1,Enero,T1,Sábado,True,1,49.0
TX-000065,2024-01-06 11:30:00,C-00933,Alimentación,Chocolate Artesanal,6.0,1,0.0,6.0,Online,Efectivo,Sevilla,4.2,False,2024,1,Enero,T1,Sábado,True,1,6.0
TX-000066,2024-01-06 11:45:00,C-01344,Electrónica,Smartwatch Active,199.0,2,0.0,398.0,Tienda física,Tarjeta,Madrid,4.6,False,2024,1,Enero,T1,Sábado,True,1,199.0
TX-000067,2024-01-06 12:00:00,C-01083,Hogar,Cafetera Espresso,189.0,4,0.0,756.0,Tienda física,Tarjeta,Barcelona,3.4,False,2024,1,Enero,T1,Sábado,True,1,189.0
TX-000068,2024-01-06 12:15:00,C-00945,Libros,Biografía Histórica,25.0,1,0.0,25.0,Tienda física,Tarjeta,Sevilla,2.9,False,2024,1,Enero,T1,Sábado,True,1,25.0
TX-000069,2024-01-06 12:40:00,C-00700,Deportes,Mancuernas Ajustables,149.0,2,0.0,298.0,Online,Tarjeta,Madrid,3.9,False,2024,1,Enero,T1,Sábado,True,1,149.0
TX-000070,2024-01-06 14:00:00,C-00199,Libros,Novela Bestseller,21.0,2,0.0,42.0,Online,Tarjeta,Sevilla,3.8,False,2024,1,Enero,T1,Sábado,True,1,21.0
TX-000071,2024-01-06 14:05:00,C-01220,Electrónica,Smartwatch Active,199.0,2,0.0,398.0,Tienda física,Tarjeta,Bilbao,4.6,False,2024,1,Enero,T1,Sábado,True,1,199.0
TX-000072,2024-01-06 14:15:00,C-00705,Ropa,Zapatillas Running,99.0,3,0.0,297.0,Tienda física,PayPal,Madrid,3.4,False,2024,1,Enero,T1,Sábado,True,1,99.0
TX-000073,2024-01-06 14:30:00,C-01344,Hogar,Lámpara Inteligente,45.0,1,0.0,45.0,Online,Bizum,Sevilla,3.8,False,2024,1,Enero,T1,Sábado,True,1,45.0
TX-000074,2024-01-06 14:30:00,C-00933,Electrónica,Smartphone Galaxy X,699.0,1,0.0,699.0,Online,Tarjeta,Málaga,3.5,False,2024,1,Enero,T1,Sábado,True,1,699.0
TX-000075,2024-01-06 14:55:00,C-00063,Hogar,Lámpara Inteligente,45.0,3,0.25,101.25,Tienda física,Bizum,Barcelona,4.4,False,2024,1,Enero,T1,Sábado,True,1,33.75
TX-000076,2024-01-06 16:15:00,C-01344,Alimentación,Café en Grano 1kg,14.0,2,0.19,22.68,Online,Tarjeta,Barcelona,4.1,False,2024,1,Enero,T1,Sábado,True,1,11.34
TX-000077,2024-01-06 16:40:00,C-01344,Deportes,Esterilla Yoga Pro,29.0,1,0.0,29.0,Tienda física,Tarjeta,Zaragoza,3.9,False,2024,1,Enero,T1,Sábado,True,1,29.0
TX-000078,2024-01-06 17:25:00,C-01362,Hogar,Cafetera Espresso,189.0,1,0.0,189.0,Online,Tarjeta,Madrid,4.0,False,2024,1,Enero,T1,Sábado,True,1,189.0
TX-000079,2024-01-06 17:45:00,C-01257,Hogar,Set Sartenes Antiadherentes,79.0,1,0.29,56.09,Online,Tarjeta,Bilbao,4.2,False,2024,1,Enero,T1,Sábado,True,1,56.09
TX-000080,2024-01-06 17:45:00,C-01344,Alimentación,Café en Grano 1kg,14.0,2,0.0,28.0,Tienda física,Tarjeta,Bilbao,4.0,False,2024,1,Enero,T1,Sábado,True,1,14.0
TX-000081,2024-01-06 20:40:00,C-00933,Ropa,Vaqueros Slim,59.0,1,0.0,59.0,Online,Tarjeta,Barcelona,3.5,False,2024,1,Enero,T1,Sábado,True,1,59.0
TX-000082,2024-01-07 09:10:00,C-00933,Alimentación,Miel Orgánica,8.0,2,0.0,16.0,Tienda física,Bizum,Sevilla,3.5,False,2024,1,Enero,T1,Domingo,True,1,8.0
TX-000083,2024-01-07 13:00:00,C-00756,Electrónica,Tablet Pro 11,449.0,1,0.15,381.65,Online,Tarjeta,Bilbao,3.8,False,2024,1,Enero,T1,Domingo,True,1,381.65
TX-000084,2024-01-07 13:35:00,C-01344,Libros,Libro de Cocina,28.0,4,0.0,112.0,Online,Tarjeta,Sevilla,3.3,False,2024,1,Enero,T1,Domingo,True,1,28.0
TX-000085,2024-01-07 14:40:00,C-00933,Hogar,Purificador de Aire,159.0,2,0.0,318.0,Online,Tarjeta,Zaragoza,3.9,False,2024,1,Enero,T1,Domingo,True,1,159.0
TX-000086,2024-01-07 16:25:00,C-00933,Libros,Libro de Cocina,28.0,1,0.15,23.8,Online,Efectivo,Málaga,3.8,False,2024,1,Enero,T1,Domingo,True,1,23.8
TX-000087,2024-01-07 16:40:00,C-00606,Ropa,Sudadera Premium,49.0,2,0.12,86.24,Online,Tarjeta,Málaga,3.5,False,2024,1,Enero,T1,Domingo,True,1,43.12
TX-000088,2024-01-07 18:50:00,C-01251,Alimentación,Aceite de Oliva Extra,12.0,1,0.0,12.0,Tienda física,Efectivo,Barcelona,2.8,False,2024,1,Enero,T1,Domingo,True,1,12.0
TX-000089,2024-01-07 19:40:00,C-00251,Libros,Manual de Python,39.0,3,0.0,117.0,Tienda física,PayPal,Madrid,4.1,False,2024,1,Enero,T1,Domingo,True,1,39.0
TX-000090,2024-01-08 09:05:00,C-01344,Ropa,Vaqueros Slim,59.0,1,0.0,59.0,Online,PayPal,Madrid,4.0,False,2024,1,Enero,T1,Lunes,False,2,59.0
TX-000091,2024-01-08 10:15:00,C-01344,Ropa,Sudadera Premium,49.0,1,0.0,49.0,Tienda física,Bizum,Sevilla,4.5,False,2024,1,Enero,T1,Lunes,False,2,49.0
TX-000092,2024-01-08 10:20:00,C-00933,Hogar,Cafetera Espresso,189.0,2,0.0,378.0,Tienda física,Tarjeta,Valencia,3.0,False,2024,1,Enero,T1,Lunes,False,2,189.0
TX-000093,2024-01-08 10:25:00,C-00058,Hogar,Lámpara Inteligente,45.0,1,0.0,45.0,Online,PayPal,Valencia,4.3,False,2024,1,Enero,T1,Lunes,False,2,45.0
TX-000094,2024-01-08 13:05:00,C-00582,Ropa,Camisa Clásica,35.0,2,0.0,70.0,Online,Bizum,Valencia,4.5,False,2024,1,Enero,T1,Lunes,False,2,35.0
TX-000095,2024-01-08 13:55:00,C-00083,Ropa,Camisa Clásica,35.0,1,0.19,28.35,Online,Tarjeta,Barcelona,3.8,False,2024,1,Enero,T1,Lunes,False,2,28.35
TX-000096,2024-01-08 14:05:00,C-01314,Ropa,Chaqueta Impermeable,89.0,1,0.0,89.0,Online,Tarjeta,Madrid,3.3,False,2024,1,Enero,T1,Lunes,False,2,89.0
TX-000097,2024-01-08 14:25:00,C-00257,Hogar,Cafetera Espresso,189.0,1,0.3,132.3,Tienda física,Bizum,Zaragoza,4.8,False,2024,1,Enero,T1,Lunes,False,2,132.3
TX-000098,2024-01-08 15:40:00,C-00722,Deportes,Set Bandas Elásticas,19.0,4,0.0,76.0,Online,Tarjeta,Barcelona,4.6,False,2024,1,Enero,T1,Lunes,False,2,19.0
TX-000099,2024-01-08 16:55:00,C-00497,Alimentación,Té Verde Premium,9.0,5,0.0,45.0,Online,Efectivo,Madrid,4.0,False,2024,1,Enero,T1,Lunes,False,2,9.0
TX-000100,2024-01-08 21:05:00,C-00115,Electrónica,Tablet Pro 11,449.0,2,0.0,898.0,Online,Tarjeta,Bilbao,3.5,False,2024,1,Enero,T1,Lunes,False,2,449.0
TX-000101,2024-01-08 21:30:00,C-00541,Libros,Novela Bestseller,21.0,2,0.18,34.44,Online,Efectivo,Zaragoza,3.6,False,2024,1,Enero,T1,Lunes,False,2,17.22
TX-000102,2024-01-09 09:30:00,C-01046,Electrónica,Auriculares Inalámbricos,129.0,1,0.0,129.0,Online,Tarjeta,Valencia,4.0,False,2024,1,Enero,T1,Martes,False,2,129.0
TX-000103,2024-01-09 10:45:00,C-01344,Electrónica,Smartwatch Active,199.0,2,0.0,398.0,Online,Tarjeta,Málaga,4.4,False,2024,1,Enero,T1,Martes,False,2,199.0
TX-000104,2024-01-09 13:20:00,C-01126,Electrónica,Portátil UltraBook 15,1099.0,4,0.0,4396.0,Tienda física,Tarjeta,Sevilla,4.3,True,2024,1,Enero,T1,Martes,False,2,1099.0
TX-000105,2024-01-09 14:50:00,C-00277,Deportes,Set Bandas Elásticas,19.0,1,0.13,16.53,Tienda física,Efectivo,Málaga,4.8,False,2024,1,Enero,T1,Martes,False,2,16.53
TX-000106,2024-01-09 17:55:00,C-01382,Electrónica,"Monitor 4K 27""",249.0,1,0.17,206.67,Online,Bizum,Barcelona,3.6,False,2024,1,Enero,T1,Martes,False,2,206.67
TX-000107,2024-01-09 19:10:00,C-01344,Deportes,Mancuernas Ajustables,149.0,3,0.0,447.0,Online,Tarjeta,Valencia,4.1,False,2024,1,Enero,T1,Martes,False,2,149.0
TX-000108,2024-01-09 19:20:00,C-01233,Hogar,Robot Aspirador,299.0,1,0.09,272.09,Tienda física,Efectivo,Barcelona,2.9,False,2024,1,Enero,T1,Martes,False,2,272.09
TX-000109,2024-01-09 21:25:00,C-01344,Alimentación,Café en Grano 1kg,14.0,1,0.0,14.0,Tienda física,Bizum,Barcelona,4.1,False,2024,1,Enero,T1,Martes,False,2,14.0
TX-000110,2024-01-10 09:25:00,C-00217,Libros,Novela Bestseller,21.0,3,0.0,63.0,Online,Efectivo,Valencia,3.8,False,2024,1,Enero,T1,Miércoles,False,2,21.0
TX-000111,2024-01-10 10:10:00,C-00377,Hogar,Lámpara Inteligente,45.0,2,0.0,90.0,Online,Tarjeta,Madrid,3.6,False,2024,1,Enero,T1,Miércoles,False,2,45.0
TX-000112,2024-01-10 12:30:00,C-00513,Deportes,Esterilla Yoga Pro,29.0,2,0.0,58.0,Online,Tarjeta,Valencia,3.2,False,2024,1,Enero,T1,Miércoles,False,2,29.0
TX-000113,2024-01-10 13:35:00,C-00933,Electrónica,Portátil UltraBook 15,1099.0,1,0.0,1099.0,Online,Tarjeta,Bilbao,3.4,False,2024,1,Enero,T1,Miércoles,False,2,1099.0
TX-000114,2024-01-10 15:40:00,C-00765,Alimentación,Té Verde Premium,9.0,3,0.0,27.0,Online,Tarjeta,Málaga,4.9,False,2024,1,Enero,T1,Miércoles,False,2,9.0
TX-000115,2024-01-10 18:25:00,C-01344,Deportes,Mancuernas Ajustables,149.0,1,0.06,140.06,Online,Efectivo,Madrid,4.1,False,2024,1,Enero,T1,Miércoles,False,2,140.06
TX-000116,2024-01-10 18:30:00,C-01344,Hogar,Set Sartenes Antiadherentes,79.0,4,0.0,316.0,Tienda física,Tarjeta,Madrid,3.8,False,2024,1,Enero,T1,Miércoles,False,2,79.0
TX-000117,2024-01-10 19:15:00,C-00082,Electrónica,Auriculares Inalámbricos,129.0,3,0.0,387.0,Tienda física,Efectivo,Sevilla,3.6,False,2024,1,Enero,T1,Miércoles,False,2,129.0
TX-000118,2024-01-10 20:00:00,C-01344,Alimentación,Té Verde Premium,9.0,4,0.0,36.0,Online,Efectivo,Zaragoza,4.1,False,2024,1,Enero,T1,Miércoles,False,2,9.0
TX-000119,2024-01-10 21:15:00,C-00584,Alimentación,Aceite de Oliva Extra,12.0,1,0.0,12.0,Online,Bizum,Sevilla,3.2,False,2024,1,Enero,T1,Miércoles,False,2,12.0
TX-000120,2024-01-10 21:30:00,C-00933,Alimentación,Chocolate Artesanal,6.0,1,0.0,6.0,Online,Tarjeta,Barcelona,4.9,False,2024,1,Enero,T1,Miércoles,False,2,6.0
TX-000121,2024-01-11 10:10:00,C-00765,Hogar,Set Sartenes Antiadherentes,79.0,1,0.22,61.62,Online,Tarjeta,Madrid,5.0,False,2024,1,Enero,T1,Jueves,False,2,61.62
TX-000122,2024-01-11 11:35:00,C-01344,Electrónica,Tablet Pro 11,449.0,1,0.0,449.0,Tienda física,Tarjeta,Barcelona,3.5,False,2024,1,Enero,T1,Jueves,False,2,449.0
TX-000123,2024-01-11 11:45:00,C-00108,Libros,Manual de Python,39.0,2,0.0,78.0,Tienda física,Efectivo,Sevilla,4.3,False,2024,1,Enero,T1,Jueves,False,2,39.0
TX-000124,2024-01-11 13:50:00,C-01260,Hogar,Set Sartenes Antiadherentes,79.0,5,0.0,395.0,Online,Tarjeta,Bilbao,4.5,False,2024,1,Enero,T1,Jueves,False,2,79.0
TX-000125,2024-01-11 15:05:00,C-00482,Electrónica,Portátil UltraBook 15,1099.0,2,0.0,2198.0,Tienda física,PayPal,Madrid,3.4,True,2024,1,Enero,T1,Jueves,False,2,1099.0
TX-000126,2024-01-11 17:05:00,C-00933,Hogar,Robot Aspirador,299.0,2,0.0,598.0,Online,PayPal,Barcelona,4.5,False,2024,1,Enero,T1,Jueves,False,2,299.0
TX-000127,2024-01-11 18:30:00,C-01344,Deportes,Esterilla Yoga Pro,29.0,1,0.0,29.0,Online,Efectivo,Madrid,3.9,False,2024,1,Enero,T1,Jueves,False,2,29.0
TX-000128,2024-01-11 20:10:00,C-00136,Libros,Libro de Cocina,28.0,5,0.0,140.0,Online,PayPal,Bilbao,3.9,False,2024,1,Enero,T1,Jueves,False,2,28.0
TX-000129,2024-01-12 10:25:00,C-01344,Electrónica,Smartphone Galaxy X,699.0,4,0.0,2796.0,Online,Tarjeta,Barcelona,4.0,True,2024,1,Enero,T1,Viernes,False,2,699.0
TX-000130,2024-01-12 12:15:00,C-00933,Deportes,Esterilla Yoga Pro,29.0,4,0.0,116.0,Tienda física,Tarjeta,Málaga,3.5,False,2024,1,Enero,T1,Viernes,False,2,29.0
TX-000131,2024-01-12 14:15:00,C-01498,Alimentación,Miel Orgánica,8.0,1,0.0,8.0,Online,Bizum,Barcelona,3.8,False,2024,1,Enero,T1,Viernes,False,2,8.0
TX-000132,2024-01-12 14:15:00,C-01260,Electrónica,Auriculares Inalámbricos,129.0,1,0.0,129.0,Tienda física,Tarjeta,Valencia,3.3,False,2024,1,Enero,T1,Viernes,False,2,129.0
TX-000133,2024-01-12 17:15:00,C-00450,Deportes,Set Bandas Elásticas,19.0,1,0.0,19.0,Online,Tarjeta,Madrid,3.9,False,2024,1,Enero,T1,Viernes,False,2,19.0
TX-000134,2024-01-12 18:40:00,C-01344,Ropa,Sudadera Premium,49.0,1,0.0,49.0,Tienda física,Efectivo,Bilbao,3.1,False,2024,1,Enero,T1,Viernes,False,2,49.0
TX-000135,2024-01-12 19:00:00,C-01344,Deportes,Set Bandas Elásticas,19.0,2,0.0,38.0,Online,PayPal,Valencia,4.8,False,2024,1,Enero,T1,Viernes,False,2,19.0
TX-000136,2024-01-12 20:05:00,C-01490,Ropa,Vaqueros Slim,59.0,1,0.0,59.0,Online,Tarjeta,Zaragoza,4.1,False,2024,1,Enero,T1,Viernes,False,2,59.0
