id_cliente,recencia_dias,frecuencia,valor_monetario,cluster,segmento
C-00489,54,4,3068.68,0,Leales
C-00490,48,2,1007.44,0,Leales
C-00491,2,2,85.04,0,Leales
C-00492,166,1,9.0,3,Potenciales
C-00494,220,2,5694.0,3,Potenciales
C-00495,21,4,308.3,0,Leales
C-00496,149,7,3753.56,3,Potenciales
C-00497,114,5,1060.46,0,Leales
C-00498,677,1,24.92,2,En riesgo
C-00499,464,2,354.96,2,En riesgo
C-00500,5,11,7885.25,0,Leales
C-00501,12,2,627.0,0,Leales
C-00503,20,2,109.14,0,Leales
C-00504,47,3,625.0,0,Leales
C-00505,36,6,1754.48,0,Leales
C-00506,218,5,327.48,3,Potenciales
C-00507,128,3,326.2,0,Leales
C-00508,303,1,199.0,3,Potenciales
C-00509,5,13,3471.71,0,Leales
C-00510,13,24,9031.01,0,Leales
C-00511,446,1,636.8,2,En riesgo
C-00512,60,3,976.0,0,Leales
C-00513,266,6,1298.26,3,Potenciales
C-00514,518,1,49.0,2,En riesgo
C-00515,16,5,1984.54,0,Leales
C-00516,120,12,5064.12,0,Leales
C-00518,21,3,960.5,0,Leales
C-00519,14,6,1624.23,0,Leales
C-00520,152,4,1937.13,3,Potenciales
C-00521,50,1,897.0,0,Leales
C-00523,35,1,17.43,0,Leales
C-00524,42,4,6899.0,0,Leales
C-00526,512,2,416.0,2,En riesgo
C-00527,149,1,90.0,3,Potenciales
C-00528,198,2,747.38,3,Potenciales
C-00529,164,8,8702.49,3,Potenciales
C-00530,13,19,13447.57,0,Leales
C-00531,190,11,1833.38,3,Potenciales
C-00532,140,3,1008.0,3,Potenciales
C-00533,186,3,596.72,3,Potenciales
C-00534,292,2,477.0,3,Potenciales
C-00535,27,5,4301.0,0,Leales
C-00536,242,5,2330.35,3,Potenciales
C-00537,183,2,204.0,3,Potenciales
C-00538,578,1,237.0,2,En riesgo
C-00539,27,2,413.88,0,Leales
C-00540,636,1,79.0,2,En riesgo
C-00541,3,128,42894.29,0,Leales
C-00542,60,5,624.83,0,Leales
C-00543,117,3,3848.4,0,Leales
C-00545,41,1,19.0,0,Leales
C-00546,6,3,135.05,0,Leales
C-00547,661,1,387.0,2,En riesgo
C-00548,17,4,2557.0,0,Leales
C-00549,29,4,1709.0,0,Leales
C-00550,15,5,1030.0,0,Leales
C-00551,19,7,2721.52,0,Leales
C-00552,365,3,553.32,2,En riesgo
C-00553,70,1,18.0,0,Leales
C-00554,470,5,5108.28,2,En riesgo
C-00556,8,5,1331.56,0,Leales
C-00559,281,1,349.0,3,Potenciales
C-00560,130,2,2115.0,0,Leales
C-00561,185,4,1538.0,3,Potenciales
C-00562,14,3,3316.0,0,Leales
C-00563,16,6,1996.0,0,Leales
C-00565,74,6,4458.0,0,Leales
C-00567,21,20,4048.28,0,Leales
C-00569,280,2,63.0,3,Potenciales
C-00571,178,5,207.54,3,Potenciales
C-00572,9,8,1715.64,0,Leales
C-00573,547,1,598.0,2,En riesgo
C-00574,51,13,3143.84,0,Leales
C-00575,3,18,2804.74,0,Leales
C-00576,25,5,1512.0,0,Leales
C-00577,28,4,134.61,0,Leales
C-00578,12,8,7424.62,0,Leales
C-00580,184,8,3229.52,3,Potenciales
C-00581,30,3,1013.0,0,Leales
C-00582,354,4,406.0,3,Potenciales
C-00583,386,2,1696.0,2,En riesgo
C-00584,4,32,7911.72,0,Leales
C-00588,41,2,1076.4,0,Leales
C-00589,102,4,2659.85,0,Leales
C-00591,215,2,203.0,3,Potenciales
C-00592,570,1,42.0,2,En riesgo
C-00593,228,1,117.0,3,Potenciales
C-00594,19,8,3887.0,0,Leales
C-00596,11,6,1343.34,0,Leales
C-00597,13,1,299.0,0,Leales
C-00598,54,2,168.0,0,Leales
C-00599,172,18,3742.33,3,Potenciales
C-00600,11,16,7501.42,0,Leales
C-00602,33,1,25.0,0,Leales
C-00603,1,12,5727.32,0,Leales
C-00604,134,1,12.0,3,Potenciales
C-00606,48,4,275.56,0,Leales
C-00607,132,2,129.0,0,Leales
C-00608,12,4,1257.0,0,Leales
C-00611,12,2,344.0,0,Leales
C-00612,31,7,1363.0,0,Leales
C-00613,236,3,1828.0,3,Potenciales
C-00614,7,6,548.0,0,Leales
C-00615,131,1,49.0,0,Leales
C-00616,415,2,524.1,2,En riesgo
C-00617,63,2,224.0,0,Leales
C-00619,525,1,27.55,2,En riesgo
C-00621,28,2,967.4,0,Leales
C-00622,171,3,888.2,3,Potenciales
C-00624,224,3,1063.6,3,Potenciales
C-00625,77,10,1776.63,0,Leales
C-00626,76,7,3014.0,0,Leales
C-00627,113,9,2664.04,0,Leales
C-00629,585,1,1347.0,2,En riesgo
C-00630,5,8,2047.1,0,Leales
C-00631,68,4,615.0,0,Leales
C-00632,53,8,1184.05,0,Leales
C-00633,66,5,408.96,0,Leales
C-00634,140,5,5141.24,3,Potenciales
C-00635,342,1,898.0,3,Potenciales
C-00636,41,6,801.05,0,Leales
C-00637,317,3,3369.0,3,Potenciales
C-00638,4,6,2271.0,0,Leales
C-00639,51,4,2470.0,0,Leales
C-00640,265,2,744.48,3,Potenciales
C-00641,166,2,87.0,3,Potenciales
C-00642,4,107,47684.71,0,Leales
C-00645,92,3,732.0,0,Leales
C-00646,57,8,2376.95,0,Leales
C-00647,48,6,2013.0,0,Leales
C-00648,336,1,105.0,3,Potenciales
C-00650,269,2,127.0,3,Potenciales
C-00651,122,2,153.0,0,Leales
C-00652,376,1,149.0,2,En riesgo
C-00653,376,1,33.15,2,En riesgo
C-00654,2,5,2143.54,0,Leales
C-00655,198,2,651.6,3,Potenciales
C-00656,369,2,2152.0,2,En riesgo
C-00657,47,2,311.0,0,Leales
C-00658,4,35,6861.29,0,Leales
C-00660,197,1,199.0,3,Potenciales
C-00661,18,7,1554.0,0,Leales
C-00662,420,2,33.0,2,En riesgo
C-00663,5,6,1613.43,0,Leales
C-00664,468,1,45.0,2,En riesgo
C-00665,64,4,1844.48,0,Leales
C-00666,30,1,398.0,0,Leales
C-00667,70,2,2818.25,0,Leales
C-00668,580,1,698.0,2,En riesgo
C-00669,3,20,8942.07,0,Leales
C-00670,94,6,394.0,0,Leales
C-00671,1,14,4111.4,0,Leales
C-00672,349,1,28.0,3,Potenciales
C-00673,225,3,1255.94,3,Potenciales
C-00674,75,6,941.79,0,Leales
C-00675,124,2,1794.0,0,Leales
C-00677,28,7,2535.0,0,Leales
C-00678,416,2,6594.0,2,En riesgo
C-00679,390,2,694.0,2,En riesgo
C-00680,170,1,49.0,3,Potenciales
C-00681,3,19,8135.69,0,Leales
C-00682,23,3,509.0,0,Leales
C-00683,109,2,785.0,0,Leales
C-00684,6,18,3295.39,0,Leales
C-00685,193,2,357.0,3,Potenciales
C-00686,397,1,90.0,2,En riesgo
C-00687,662,1,24.0,2,En riesgo
C-00688,412,1,195.0,2,En riesgo
C-00690,597,1,898.0,2,En riesgo
C-00691,22,6,3467.0,0,Leales
C-00692,12,3,543.32,0,Leales
C-00693,31,3,350.0,0,Leales
C-00696,205,1,698.0,3,Potenciales
C-00697,152,5,4184.0,3,Potenciales
C-00698,3,5,1981.0,0,Leales
C-00699,70,1,598.0,0,Leales
C-00700,10,29,14333.54,0,Leales
C-00701,604,1,38.0,2,En riesgo
C-00702,113,4,412.0,0,Leales
C-00703,59,5,948.05,0,Leales
C-00704,32,4,708.0,0,Leales
C-00705,5,45,23033.39,0,Leales
C-00706,257,2,22.0,3,Potenciales
C-00707,28,5,3218.0,0,Leales
C-00708,53,10,2465.0,0,Leales
C-00709,616,1,6.0,2,En riesgo
C-00712,177,3,1514.0,3,Potenciales
C-00714,30,2,73.0,0,Leales
C-00715,25,3,386.09,0,Leales
C-00716,4,4,5419.0,0,Leales
C-00717,186,2,56.38,3,Potenciales
C-00719,238,1,50.0,3,Potenciales
C-00721,180,1,39.0,3,Potenciales
C-00722,1,27,10515.18,0,Leales
C-00725,76,13,5154.12,0,Leales
C-00726,419,2,128.08,2,En riesgo
C-00727,15,20,7667.02,0,Leales
C-00728,59,1,65.57,0,Leales
C-00730,357,2,100.2,3,Potenciales
C-00731,43,8,1550.27,0,Leales
C-00732,123,1,498.0,0,Leales
C-00733,443,1,56.0,2,En riesgo
C-00734,54,4,2239.45,0,Leales
C-00736,417,1,58.0,2,En riesgo
C-00739,22,21,4164.68,0,Leales
C-00740,70,3,412.2,0,Leales
C-00742,224,4,1799.0,3,Potenciales
C-00743,14,4,751.52,0,Leales
C-00744,518,1,387.0,2,En riesgo
C-00745,21,5,1963.6,0,Leales
C-00746,637,1,198.0,2,En riesgo
C-00747,42,17,4291.28,0,Leales
C-00748,5,71,31733.02,0,Leales
C-00749,13,15,2299.1,0,Leales
C-00750,159,10,931.95,3,Potenciales
C-00751,664,1,29.0,2,En riesgo
C-00753,16,5,3124.28,0,Leales
C-00754,160,3,744.0,3,Potenciales
C-00755,314,1,276.21,3,Potenciales
C-00756,73,5,640.19,0,Leales
C-00757,61,2,366.0,0,Leales
C-00758,234,2,607.32,3,Potenciales
C-00759,88,7,2471.55,0,Leales
C-00760,26,5,1803.24,0,Leales
C-00761,389,1,76.0,2,En riesgo
C-00763,3,3,461.36,0,Leales
C-00764,33,5,1823.0,0,Leales
C-00765,7,30,15060.0,0,Leales
C-00766,552,1,4396.0,2,En riesgo
C-00767,52,1,149.0,0,Leales
C-00768,30,3,743.0,0,Leales
C-00769,32,8,2767.32,0,Leales
C-00770,17,2,1997.0,0,Leales
C-00771,148,2,1634.39,3,Potenciales
C-00772,172,2,72.96,3,Potenciales
C-00773,25,2,3639.28,0,Leales
C-00775,159,4,3122.22,3,Potenciales
C-00777,59,4,2871.14,0,Leales
C-00778,3,32,8565.98,0,Leales
C-00780,253,2,138.0,3,Potenciales
C-00782,30,1,25.0,0,Leales
C-00784,75,2,726.93,0,Leales
C-00785,548,2,1208.61,2,En riesgo
C-00787,509,1,1398.0,2,En riesgo
C-00788,89,3,1198.03,0,Leales
C-00789,463,1,1347.0,2,En riesgo
C-00790,111,6,3440.6,0,Leales
C-00791,133,2,323.25,0,Leales
C-00792,338,1,49.0,3,Potenciales
C-00793,184,2,107.0,3,Potenciales
C-00794,371,1,449.0,2,En riesgo
C-00795,198,2,1345.0,3,Potenciales
C-00796,20,5,2037.0,0,Leales
C-00800,64,1,58.0,0,Leales
C-00802,96,1,98.0,0,Leales
C-00803,91,1,62.25,0,Leales
C-00805,176,6,823.0,3,Potenciales
C-00806,45,5,2204.34,0,Leales
C-00807,291,2,2897.0,3,Potenciales
C-00809,466,1,129.0,2,En riesgo
C-00810,1,6,1968.66,0,Leales
C-00811,310,6,2983.28,3,Potenciales
C-00812,9,6,2514.01,0,Leales
C-00814,33,7,1178.62,0,Leales
C-00815,258,5,808.4,3,Potenciales
C-00816,249,2,488.0,3,Potenciales
C-00817,4,3,903.0,0,Leales
C-00818,67,7,1443.98,0,Leales
C-00821,2,15,3083.5,0,Leales
C-00824,382,2,245.0,2,En riesgo
C-00825,4,85,25496.33,0,Leales
C-00826,131,9,2098.55,0,Leales
C-00827,28,11,1847.0,0,Leales
C-00828,21,13,4207.22,0,Leales
C-00829,30,2,487.0,0,Leales
C-00830,284,4,4230.58,3,Potenciales
C-00831,18,3,805.0,0,Leales
C-00832,1,6,1829.0,0,Leales
C-00834,55,4,1294.08,0,Leales
C-00835,632,1,898.0,2,En riesgo
C-00836,37,19,5844.21,0,Leales
C-00837,23,58,27879.14,0,Leales
C-00838,286,3,1347.16,3,Potenciales
C-00839,255,3,816.0,3,Potenciales
C-00840,11,13,4199.41,0,Leales
C-00841,128,4,1392.0,0,Leales
C-00842,10,2,2584.37,0,Leales
C-00843,642,1,76.65,2,En riesgo
C-00844,8,5,1651.0,0,Leales
C-00845,23,6,3468.35,0,Leales
C-00846,89,6,644.0,0,Leales
C-00848,199,1,127.44,3,Potenciales
C-00850,242,2,261.0,3,Potenciales
C-00851,526,1,178.0,2,En riesgo
C-00853,117,5,906.0,0,Leales
